SampleID,Group,Warm,Drought,Bact,Fung,Disturbances
S1_S1,C,no,no,no,no,0
S2_S2,W,yes,no,no,no,1
S3_S3,D,no,yes,no,no,1
S4_S4,WD,yes,yes,no,no,2
S5_S5,B,no,no,yes,no,1
S6_S6,F,no,no,no,yes,1
S7_S7,BF,no,no,yes,yes,2
S8_S8,WB,yes,no,yes,no,2
S9_S9,WF,yes,no,no,yes,2
S10_S10,DB,no,yes,yes,no,2
S11_S11,DF,no,yes,no,yes,2
S12_S12,WDB,yes,yes,yes,no,3
S13_S13,WDF,yes,yes,no,yes,3
S14_S14,WBF,yes,no,yes,yes,3
S15_S15,DBF,no,yes,yes,yes,3
S16_S16,WDFB,yes,yes,yes,yes,4
S17_S17,WB,yes,no,yes,no,2
S18_S18,C,no,no,no,no,0
S19_S19,WF,yes,no,no,yes,2
S20_S20,BF,no,no,yes,yes,2
S21_S21,DF,no,yes,no,yes,2
S22_S22,WDB,yes,yes,yes,no,3
S23_S23,WDFB,yes,yes,yes,yes,4
S24_S24,DB,no,yes,yes,no,2
S25_S25,WD,yes,yes,no,no,2
S26_S26,WDF,yes,yes,no,yes,3
S27_S27,F,no,no,no,yes,1
S28_S28,WBF,yes,no,yes,yes,3
S29_S29,D,no,yes,no,no,1
S30_S30,B,no,no,yes,no,1
S31_S31,DBF,no,yes,yes,yes,3
S32_S32,W,yes,no,no,no,1
S33_S33,F,no,no,no,yes,1
S34_S34,WB,yes,no,yes,no,2
S35_S35,DB,no,yes,yes,no,2
S36_S36,WDB,yes,yes,yes,no,3
S37-2_S77,WDF,yes,yes,no,yes,3
S37_S37,WDF,yes,yes,no,yes,3
S38_S38,W,yes,no,no,no,1
S39_S39,D,no,yes,no,no,1
S40_S40,BF,no,no,yes,yes,2
S41_S41,C,no,no,no,no,0
S42_S42,WDFB,yes,yes,yes,yes,4
S43_S43,DF,no,yes,no,yes,2
S44_S44,WBF,yes,no,yes,yes,3
S45_S45,B,no,no,yes,no,1
S46_S46,DBF,no,yes,yes,yes,3
S47_S47,WD,yes,yes,no,no,2
S48_S48,WF,yes,no,no,yes,2
49_S49,WBF,yes,no,yes,yes,3
S50_S50,B,no,no,yes,no,1
S51_S51,D,no,yes,no,no,1
S54_S52,WDF,yes,yes,no,yes,3
S55_S53,C,no,no,no,no,0
S56_S54,WDB,yes,yes,yes,no,3
S57_S55,W,yes,no,no,no,1
S58_S56,DF,no,yes,no,yes,2
S59_S57,DB,no,yes,yes,no,2
S60_S58,WF,yes,no,no,yes,2
S61_S59,WB,yes,no,yes,no,2
S62_S60,WD,yes,yes,no,no,2
S63_S61,BF,no,no,yes,yes,2
S64_S62,F,no,no,no,yes,1
S65_S63,W,yes,no,no,no,1
S67_S64,B,no,no,yes,no,1
S68_S65,WDFB,yes,yes,yes,yes,4
S69_S66,WB,yes,no,yes,no,2
S70_S67,WDB,yes,yes,yes,no,3
S71_S68,DB,no,yes,yes,no,2
S72_S69,F,no,no,no,yes,1
S73_S70,WF,yes,no,no,yes,2
S74_S71,WBF,yes,no,yes,yes,3
S75_S72,C,no,no,no,no,0
S76_S73,BF,no,no,yes,yes,2
S77_S74,D,no,yes,no,no,1
S78_S75,DBF,no,yes,yes,yes,3
S80_S76,DF,no,yes,no,yes,2